id,name,name2,name_temp,price_min,name_staging,price_market,name_proposed,price_proposed,name_alternative,description_range_0,description_range_1,description_range_2,description_range_3,description_range_4,description_range_5,description_range_6,description_range_7,description_range_8,description_range_9,description_range_10,description_range_11,description_range_12,description_range_13,description_range_14,description_range_15,staging_info_part_1_chunk,staging_info_part_2_chunk,staging_info_part_3_chunk,staging_info_part_4_chunk,staging_info_part_5_chunk
10,calm fader,speedy coda,calm fader194881,1219,speedy-coda,1173,calm fader_Final,2139,speedy-coda_Alt,fm1ZacrgS,eEGg9vhSfyONovva1lAv,361dm4BDCU,hPzl4PG5mJNG7H3Ah89cr,W4AeERlft,SvBJO9i8l86,z5ypI7kosUGzzIlaECPr1P4RMb,G83wkz3O3OGVlmKk0j0MiqUHo,9REephCxOCKI2fd3eovIebMPpijH,iH1ag88bt6RWmxzkAnNJ,9bOIzCOsG8zW17cPURnVS,YsdsGrCSo1TADF,S27zO48,nhORFZulGzF,wpDOjzwZ3b6evUQj9cUM,glKqPgdZMj34jmYGyIEafm1,<blank>,<blank>,<blank>,<blank>,<blank>
11,tart osprey,complete infantry,tart osprey224470,1569,complete-infantry,1495,tart osprey_Final,2321,complete-infantry_Alt,vgYRhXhcYM8bgvWVqbCUThoj,pcRbTILPDSKlAHQpkp,xl6adxKktRVdxUj4w,cYsfWCnL8HZIxcRlDAZYtKRFVCMEHI,FZQ433oT9bEU7VdmeBr5oO8wUBeYl,viXzp3EYX0B4i7,vfaAzTL5l0PX3,bZR8NUJ6UK08Y0,aeU6pvQ,29QlEJyShDq,KONggecJVsEYgcmuKfR91T7mCD2SE,hqBMZyxyLxI5vBVL75zKObi,b2Ry9UkNm2vzWraXkN,pokK0jITjNcM,RWseOClo6gBV0KDw8WP0NOoet8Mp53,Kfrzrx8HHyh,<blank>,<blank>,<blank>,<blank>,<blank>
12,polite lintel,cautious latency,polite lintel290595,914,cautious-latency,885,polite lintel_Final,1072,cautious-latency_Alt,V230jVJ6tuEnmd489,PdUg5gFtlKSDK,ZovLCCg9RmqdXlkurp,FdlMYNF9nwldkPOVAm,DnGRh22OYv,x3liaXbxqtEatEQ,WOPLVOiITlIwpZJ4HRq3,aSRcDILOUmf71Zz,rqncxW9XlPPi4z5hbgtJL2w32JS,RzDoLFT3BbVYqxcet5G123W8KFTnX3,xXcWYIF3N1oG9e5KkGk,urzXG6,x5NC4sq2GMfIwvrZEigLu,F1DvzpMNi6Y7XdjtpWf,6ClQxUEy0GCuWE4I03O,fckcXS4PP4a4y1qhXjJm8NA,<blank>,<blank>,<blank>,<blank>,<blank>
13,grating butterkase,khaki reveal,grating butterkase76400,1394,khaki-reveal,1365,grating butterkase_Final,1929,khaki-reveal_Alt,1RTLvn,pB6tuLbyawww5YzAFPGolN,zwqPxUJRc8dTyp8jIyPmwVYch3Ps,95qsXHfPCvz,fpEkDGMPsYro4gF9,PyK7i0,taa61F1rg65AgoQ5DYZSPzaPSilH,KyQSD9YO6LKLOs79CpxEjCnMQawN,wtaEYiCKPBfnRASOsY,HjbEr0Ufv63NfpHT0apKSg,97iP5Rvj7tPQ,LbaP1mH2wPjCzwZTotBHQA,Sct8wVsgbA2iSpsfqPLxq,9bi6B7X,u4rb4peG3m7nDArIi8aX,4b2k5sn,<blank>,<blank>,<blank>,<blank>,<blank>
14,nice burl,synchronic carton,nice burl220944,228,synchronic-carton,221,nice burl_Final,437,synchronic-carton_Alt,PYNSy5GRanPFOfii3yNU9YTER,6KWk3y8l0,6rNt6cBb7DKXUNP,ErhwzdZkv,hqZjxwYfvL45BsnS,QxZie7uWuqr57gn5ILtrZW7,DWIb6D9iM7T9Xg081H0wEKvNP,4tNkeAXaNuEJPZVjPoD,FDn1ouNS0psymINk94000nkOxrjK6,35BrgjBCpCLVGZ1sVMVM1YV3,pH1oEPDp,MOxXu5,ngfJ82YPujWsoZp3CSC4fA,YfdHcvfmaJRjRb,ydW2ZbP0dV45gpQdDHmGO,t7AiClP5JfGFyMoerjYAaSzI,<blank>,<blank>,<blank>,<blank>,<blank>
15,direct bandit,legacy complexity,direct bandit319388,648,legacy-complexity,589,direct bandit_Final,671,legacy-complexity_Alt,IdZrSBCMgICq,2GCsjCeQz,VHH4715yG5UvjGBbZH,dURer6CeNUCEjmhp4yiuyq1N5t,QQv9ol8,KTDU6wM9F3dyAT2kkWyDLXzNN,wVmxL5ZVWvelq4W6,vcREiwtKjBDhilHZXmTSJ4,5n4IDxiB6K39NgTHzsQO9xwRUC,Wrxmx0HxdVSWv,8gCYlSJIdgYsx5Pq,9JUiB72dAG506oiJh4xQwLZf,V5RYhVnHfCPYWqk6tQyrI9550OR,Vk1bSBhPSGK9YtGM53Oj,0lg4KlYyNieZAeBMsANBcLBQjSGTb,fCyYibqptCf24SduCZnrOX1tcy6,<blank>,<blank>,<blank>,<blank>,<blank>
16,trite diatonic,ornery borzoi,trite diatonic28790,1792,ornery-borzoi,1735,trite diatonic_Final,1894,ornery-borzoi_Alt,rqQTowf1A4ljCyVBmXbz3JhyOwEN,O6fVxSgWr,grXLe11SeMRrk75A5zcO08UDjiTJVA,2AYAV8gpaHcp681N,0IGvp,5TDtzWy4S97NReuNRu,WbCALOtauoESyD,ObylXvj7caD2TSARAXO9kpaJZSaKA,AmG3gU47SG1wMXaF1vgwV2i7wRdcJA,lYJVncdiM,lzhHYj7y0LRoJa70Q,SKAlGSvCgFC,Cef58wXr3t8HXbRX22WBXDv,jqJG46ge,DudOqAoTj7QofEkJl90xuSCZ,b3DMuS1NkjO6pEzK8DN0djJis1ii,<blank>,<blank>,<blank>,<blank>,<blank>
17,naive download,diagonal camera,naive download393112,1446,diagonal-camera,1400,naive download_Final,1899,diagonal-camera_Alt,Vjnsof8ztGgB,TWHsiXT71B1,ZEkqXB0j2Hi8mQYHnbgAFq,AdzsvPvzOOaXAauxpg65xi5Lt,94HX2te0,SzuARK4Me4OY,CbdXa8CQ1ENKlrq1za4,hmrQOWj7zpI0c,xkZGhrKbEfcTFsJzA4GVgOpzgCpkMY,0u5V1tRuAsM,tfmOhh,IGRz23mYtquwzxhsk3nm7hUwk,gThggfKJVY3J7KQfR,Z1bTIQBmCSAF1vywN,5VfkeR1mehMV,wPdUTtHUDXaeEeOjk7v4W4J,<blank>,<blank>,<blank>,<blank>,<blank>
18,elegant moat,strong column,elegant moat163608,976,strong-column,890,elegant moat_Final,1700,strong-column_Alt,uTjG0BOZJgBHFMOYbbj1gIw1,63Dj51OmcYoxtJ8n,cdaPZT,XeiNmkRQWo8yyZ8kEnBpbPOVmc6n,MB12tUBqAm1vAhcRYJIXS,DfNk1ifzjYAUUbrcj2tPRIIe,3sqRM,Z1pUWExJTZ59,HKdSAOSI6FijukS,KYkZx8Rmy2Y0OuM3xgnalU70j,LE6Z60OH,4eJ3JRoQ5OGx1q6lH5daV1wzEi1Ss,rmaRfFE6SaPio7lG1kiEJjxdV,UJNe1io,Z2DG4XV9uELlTuaEHsSFECGRF7oG,Uj9taZVcI,<blank>,<blank>,<blank>,<blank>,<blank>
19,slim humvee,violet angel,slim humvee104751,561,violet-angel,539,slim humvee_Final,1359,violet-angel_Alt,jBOTT8SSr8AVn1WY5B9v6AJ,9f6vbcz6p,GH8hU5mKJ,WQnDZKnuT,vtUZOGAulMizOzlZiiiYMJw,0RcXhEmZY9Hw9iGOXQLol53oh,HI4DIycoMEVlt,FmZuXYW7D2S,NL069sSHOe3MkZH8kCqVj59gdBqq,oJymELBiH8t77Q1,3UJasOVQhR25RrQl,ZUJ9poVxy,nx0Rgl8EvZO3vSM0IitkognsomX2,htZcD5KhH,D4L36ARIVJE783UGO,WAE65AcWYlZnIxJ,<blank>,<blank>,<blank>,<blank>,<blank>
20,wooden setter,oily footing,wooden setter269080,984,oily-footing,952,wooden setter_Final,1930,oily-footing_Alt,YFFoJhQyLB9hOzgpkXoCJg,9u23m9,wV2wpohKKLd5qRpY,wKYqOHbbhr5nn2O4R6sfHjpZJ2OruT,Ib2mfVZdMX0hw5ZsnAZph,uhIQgJFM,030zF,VwfhBrv,M8wfufh,VSjT8b0PADUiMZqCljzsxX4EBEv,xUUxx,cyFby7BItzGXMHPNvZzaZh8,3GUdp0w4WqmAn,u7aKYHeLqdRnC8ecxgEwm4sffRY,VszUJLGBRm6WKHbbapKoyYEEhD,MPYIJHTwBQbu1VYJBnVXwZ8iXJf,<blank>,<blank>,<blank>,<blank>,<blank>
21,excited novella,narrow kiwi,excited novella98071,476,narrow-kiwi,398,excited novella_Final,1269,narrow-kiwi_Alt,AUwxL5YrYyUfY27IB,OEswz2z7j5pV7mrzYpth24o91kb1z,b02w2PMDJaQbHejl98kZio4LvQl,7HjzsaZUtBf2zRT,bmzdmn9rV9nFO0i7Hvq2C6L1p,8BjcJeHGCdmdy9C2I,hmNsKvf,lW8WrY5GpyCQCIbkF1H0imCDse,vV2XxTb73YfNpKSuyUM3N,slONLRn0B0HPwdnZv1vfxWYAOYW,HCezT2goeYkg6HSqufddXy7HJ,RWSDThGs,TmB6iIcJbMFZuPdd,xFfZCYwTDd,fqlIrC,uLxHnab,<blank>,<blank>,<blank>,<blank>,<blank>
22,contemporary shot,creative thinner,contemporary shot180537,606,creative-thinner,600,contemporary shot_Final,843,creative-thinner_Alt,ilSbZQofxxzOc4,QsC02tBSDcIs6bpAG0LuB,YZCRfnDTBveS479D6q7,8k1qDRq1wBSqSP1fDYvNBR,G2pbb4p9GoznFlwJYeHsOv8,MR0Hu,fIfwRf8DPllbhD,XcnMqdmZq1,dsdoQzKRJERvehBXlUtRVAGQU5J,dT1jy3QqZPQD16,GVsscROEon4ksxY7c,iibbl4QiK0dn,Zx4cRPkqf4eytJOuyYsp5,VySKbfjGhIbLLpShIAxdArGjz,41c1DAxiDoOFl9XcmvfTgg3qlj,xJDzI0BlIEckNIeZw,<blank>,<blank>,<blank>,<blank>,<blank>
23,ash brownstone,tranquil conduction,ash brownstone356467,1839,tranquil-conduction,1818,ash brownstone_Final,2299,tranquil-conduction_Alt,D96EBR,ZBZSJWA9eSy,8vPaTzC54itjD,3PVBcXAgpk,tybmtFc0,RclkYDRi0xvtMFHhe4EVbVFHe,Af1DEoq5pX,45sGP,cBEHU4RXDVUX6,sEMr4GSfXS7liq,KyUtBa0qrwSdZ5fHPv,rKG45R3F00KYD6rs1UxnisoRCBeRU,QkJgBVz94gL,sYPLiDmOVZVKDe6TuSVzt1IhQGYJ0,6g79uDDw12U2B,i8sJqQHx33wUHV2DxoAa8WBr,<blank>,<blank>,<blank>,<blank>,<blank>
24,average canon,shortest century,average canon253372,189,shortest-century,158,average canon_Final,1061,shortest-century_Alt,Bv2GD9AktAOnWHdNt,4WmEz6KFkTHDDr66a,3bGolHg7mX8tfmLWnCX,zw4oQVlp,nwqz31xmuKBBNtw5DEtpePCkiEqG,N5ZhG8giOwKnf,9752hiu,iDKLF5RvlX2j,6pD3NCej8KZa99homJ6JoIs2L5YzC,yA9rLN3w2ckskH9FLuSqy03G,17Y18VKBqOQGfjnOtR8Ff,u0DSfsAqYd9pbUx26W08CtmmbtN,7CoGT6REzW1EcAHRryftuzf,sPFgK,Bg9uoNK3jboMzuENFyMNA,doq1JfDLxI,<blank>,<blank>,<blank>,<blank>,<blank>
25,obvious chain,broad house,obvious chain256701,365,broad-house,327,obvious chain_Final,1253,broad-house_Alt,eJMOcpFOkDBoDAF7DYwbAnDi,F5mQQyNK2XoX,dvTXG3ob0HKAoenxNW90gjzEQw,Abt9LXLcw1xRE2rT7TZDiJLX,H2wTrkbdQn092SzNq5zsYbNp3HN,fCdgqqqClUukbrGb,EfXe5at3,n21CbqR7tOUQpDt43QpEvnVkSZHPV,cuTDzfuat1TxxD7Zu,OjzBW,42OVql042nfPoaS10mA1,fBjPgfHDR0IA3n0irOMBFSephly,HlHGSCrzkbdXkZERWeCEsqx,NikpunpZ8IomTmdEMVQ02sz,P7v3zsUMs7uV7hsvdEiYjB0yzZv5d,CPZYhslBzFYB,<blank>,<blank>,<blank>,<blank>,<blank>
26,interior clerk,dry stool,interior clerk341026,1128,dry-stool,1131,interior clerk_Final,1632,dry-stool_Alt,7K9o2yR6nGXai9VKJ8cIdgiVk9zw,S8qaTFt86,0duuMteBLzt2je9ju6kjToG,o2G4WcctA0v,92jAr0KiaUshSXq8oWCUm,B4n3zqMs2czs9VXLS4,FIOYEQdFtIGezHEuH5uQYUFJXME,2K1Wsu6g7air5IsjFGQVz8jl5HDG,RB45yy,mwTMzLsowY0Lb3hCQlRGVJ9LM,eY2E7EYn,VC4D1gtEOeTFBgcjCU9Itrhs7,80rghE,oiTnXw1t0a8FJ11krwxEOXfQzqK,vSDT2Nib,wPBpB,<blank>,<blank>,<blank>,<blank>,<blank>
27,giant brush,graceful post,giant brush354549,779,graceful-post,741,giant brush_Final,1642,graceful-post_Alt,6B08U8nQR9Sab,3ImHd0OtjHlei2rPgLsPVJTVcIFXa,QhOia6X4FPUEC15Pbrz7qc3Ma,cXNYj1hwq8YiZdwHMFEM3202jT52j,naAmS,xmyr4T6oZ1,4BjvRiUmDE1hlBWwncPPHvg2Yp,wPhQwypwl,rOeVvPaIs9EJFK6vkp,kZSxg8MWxj8k,f1lvz8zgdl,g4brsqTgGQ,JoZ9xPX0NUn,IpNlQay1VnQZndEn91jx,wXhZkbWWszG3uP2q1S6UpL,yzcmkh1UXLm,<blank>,<blank>,<blank>,<blank>,<blank>
28,wise bias,hidden honey,wise bias17968,618,hidden-honey,527,wise bias_Final,660,hidden-honey_Alt,b1MKANXOAgkU6nua0LPs,8V3pLpnpgi1kfC6BaQNLOR,I85pPFaAy,UkeVn1PbTLLBzDPrDV89N3YZd6FE,lT9kFVy3fkma9,0Oimwq,KODtPP5VCdpkkuZjgis3xyEck3MI4,HYhpl6ypbZ,TKir8JruNshK,QJNUcb09aoaiudvNivjV929EMCCh5,UFs4DIKuVSn4pHT91Qs,nTuGViRgTTOJZqNr,qWZqzftaQ7WN9o8l,ApwxHdOysOPNJvI6eKdmj492Azn1,u5aMBsp0C9KlNttmzU3BTUy3qT,bMt5MfGXY6iF1gRqMzBfLT8X,<blank>,<blank>,<blank>,<blank>,<blank>
29,miniature xylophone,random decision,miniature xylophone385957,458,random-decision,404,miniature xylophone_Final,1031,random-decision_Alt,J3z7DDUsnO4DJJ,0v18rhiZlh74oP4clR,7bN4JRyPWTW6xBDVJeB3Tascoo2Ak,JCPgIEWUozcVFj,MqQzey86sYeMMU,ntLvshftX,w4Dy5p87WtDg7TX9EQnnI9,MaLXVXf4E5VPWfzAmYNP,0vFnE9FZWvfxoRweK3oOOZ9UJm,EkXJJwfOn4ldeapqrCjiXrJ,NY33PakpgE7pujTdMlMW,5d1CIn0GFseZ,S6rkVORNlIElVJncgP0sLCGvOnuX2,pRDzme4x,gJ0D7,GaDoWnDxEpUvDBsQL,<blank>,<blank>,<blank>,<blank>,<blank>
30,presto diffraction,nondeterministic upstream,presto diffraction33867,1808,nondeterministic-upstream,1773,presto diffraction_Final,2010,nondeterministic-upstream_Alt,uhkc4bqCNv2,O7Afhof4v5eCPu4LuZv6A8o5soxu,7uG6a,LUqTiPVaog,Z8XcogzTt0ZsOKqCr7,1Zu1Adk83QJvGfXtaoA4,FWaMcshBwPkit9NP2oCn,VMV7SD,tpLQu6mZ8KtnN7NZIYE,XBi3t,74Tfjd0MSN4bdBxf2mAAVkoS99QW,O2NYrHr2vryBhNB,CDdiGx09bWun3uT8,JxvJPlksB8M2k6vunywyuceZ,xVdi1NLYpMujhVBA1OEIrSQIK,k1C16bD06cRmzGfMtvMBB2LokJTYZ,<blank>,<blank>,<blank>,<blank>,<blank>
31,hushed miso,descriptive sidebar,hushed miso385531,680,descriptive-sidebar,672,hushed miso_Final,1136,descriptive-sidebar_Alt,YoGzQcRtJ80nclFkqeG9yicA5EY,31sa9opqaSVm0do3,OVtpWX,ssihe33XLP5ih4eOdV,lEZ9O8VelJ2gi9x9,hhjy2JKr,k3Me7oxOSQNwHh5,U9ETjXIzStSnoSQ,b9B2JRY7E1kdNDAf64jfchfN6L,t7iEP0v,aiPywLleZMFkvwIJ8aUXk3lgh1aLS,SPJMwWq0ac9,bHsbxS,lNFJykp6N0Tpyg6hr0RTzqv,am8O8PII1X1UF7q3aAe,d1RsJ57i7fxCwAuwflfhQwX9BE9gK,<blank>,<blank>,<blank>,<blank>,<blank>
32,exhaustive landscape,thin pollen,exhaustive landscape256297,364,thin-pollen,282,exhaustive landscape_Final,623,thin-pollen_Alt,73p0t1KSbov,J19dWT7hf2JoRotvlGXrH,K3yft,h1yuiXMX,D3t96xIzaR2cN4mEjKZmKHRGTMYlk,EZKKOGtSd,W1IFsI,PFsb1fmRt6hIRAFk3jj6Wcgc,8zmXAT5YZJFez3Ypf0bnhj,1pimpxapYZh3G,51YnAJxAAXLXoljrSFOP5XEH50B7P,hbvsEmZPhz3bB0Nqut,zm95XzezOu6FRVYwLcwK3gKhs,BohDgdy3XIFIJWOZKk,ZMGBjRntXnPXd0KyMI4uUL,gG3nhW3HM4,<blank>,<blank>,<blank>,<blank>,<blank>
33,crazy buffalo,vintage scaffold,crazy buffalo135007,792,vintage-scaffold,706,crazy buffalo_Final,1405,vintage-scaffold_Alt,HEYXomb8r4,8NN2I12JaEi32lC2DV7jGmmP,zdMr1qWsMCrR2dst3z66OSq,gW8hurDwtxM16mu8K2qxsur89,Mhp7diNq,SUawmjVdhmP,H6wq66pj3vgA9HZ8BgVs,xwk6RR8,Q6oAIdFZNEQCKIpSIj36nH2t,98jIEJT6fCuKPArH4Jn1idm,vscMrgk8u,MXCkblQ5RPBxP,XVdqS6,nUFzCPoDMWHFJD7y,gmcV4bhbGxwoFEHBj,eDeVrmg36xrgDsfG6PUwiQVA6x4,<blank>,<blank>,<blank>,<blank>,<blank>
34,canary billet,central editorial,canary billet44786,489,central-editorial,453,canary billet_Final,1183,central-editorial_Alt,0W9ebKtrOrBu78cyab9,4mf3Ro2tVii3XfA5RFWPbetqjryIzC,qmmycZUOsc7pK52enJJjx61I,ZuKkjBELhrMykEvV0,TcZ8XDyXVT5Pt16dA7,u6vd4igNoyIqcBj28K0cgwDZ,qsAFFdHW8St5Q,sRP3AloRogNQDQD,HnXmdPEh2rvGJJn,ZA60GHE84sLtbXe,VGREH7QDEkix,5HaVq4,UIdxmiR7EuZZWrG5V0kyNe,JZjC0t1wS5Ta5cQxtqMAbHT6swh,igWwpDBVvSrdDoLPiwP3qOFmS9GdH2,YZexsiaGFOAt,<blank>,<blank>,<blank>,<blank>,<blank>
35,archaic quartz,vivid effect,archaic quartz214567,1157,vivid-effect,1127,archaic quartz_Final,2154,vivid-effect_Alt,MP8s2F4kBvVB,iMUbv5,QyMDTc42LloLS0Q3Fo,X9d453SGy,HE4wD6ef61NkAQ,n8TO8ai8PLve,UK9zHTqR,S5SxX3TUzc5g6SnCPA0w2I,gEumiorUEeyhXZZj,p6cRqRXpamTsJGOK,KaQbB6tSqhuxfkYLb,E0swyFGVBZn21Mvfyd,YSrARTUWPUZkvSb9WTAVKx,YyjVUHZUtY6TFF2sQ3kXpnhG,ZsCLj7YeKal82XRW0D,3x5GWJU5exkbUPwIvPXZdn4WrIlap,<blank>,<blank>,<blank>,<blank>,<blank>
36,obtuse pumice,quiet prefix,obtuse pumice192097,1238,quiet-prefix,1164,obtuse pumice_Final,1610,quiet-prefix_Alt,7OpZkQcO9mhyz4e,lju7NNAKxiK8,vbcTvON7xbj,nl0PCu5tEu1oJBpY,VhI1JKZ7rB40HdxIKkE,FsrOLKiqF25Hl39,wVp2EtpKOwtiiITJgBbAQ,TS6oLE,r5znUgphWlzhOMmm6VF,zfis49ZeuC0X,OJxQSddXc,QkRmHT559S3DiO8L8B4a,pSKoTWQWFtkzJhK4oAsk6im3,xnEducQcx5DhFO6C3IlEEefK13XNoR,LgmCZUvwAmK,4W66KCJGnF0UfP5rVCRCBimqO,<blank>,<blank>,<blank>,<blank>,<blank>
